"","Sub_District","date","vaccintion_rate"
"101","SENEN",2021-09-30,74.7795414462081
"102","SENEN",2021-08-31,65.4027042915932
"103","SENEN",2021-12-31,80.3644914756026
"104","SENEN",2022-01-31,81.0258671369782
"105","SENEN",2021-07-31,54.4238683127572
"106","SENEN",2022-03-31,81.5843621399177
"107","SENEN",2022-05-31,81.9517930629042
"108","SENEN",2021-10-31,77.6601998824221
"109","BUNGUR",2022-02-27,82.0601851851852
"110","BUNGUR",2022-04-30,82.6168430335097
"111","BUNGUR",2022-06-30,82.8758818342152
"112","BUNGUR",2021-11-30,80.0595238095238
"113","BUNGUR",2021-09-30,74.4708994708995
"114","BUNGUR",2021-08-31,64.0432098765432
"115","BUNGUR",2021-12-31,80.9027777777778
"116","BUNGUR",2022-01-31,81.8342151675485
"117","BUNGUR",2021-07-31,52.8328924162258
"118","BUNGUR",2022-03-31,82.3522927689594
"119","BUNGUR",2022-05-31,82.6995149911817
"120","BUNGUR",2021-10-31,78.1911375661376
"121","CEMPAKA PUTIH TIMUR",2022-02-27,82.5703935452001
"122","CEMPAKA PUTIH TIMUR",2022-04-30,83.1137823151655
"123","CEMPAKA PUTIH TIMUR",2022-06-30,83.3484274658324
"124","CEMPAKA PUTIH TIMUR",2021-11-30,80.191009385806
"125","CEMPAKA PUTIH TIMUR",2021-09-30,75.4569405565618
"126","CEMPAKA PUTIH TIMUR",2021-08-31,63.8811131236621
"127","CEMPAKA PUTIH TIMUR",2021-12-31,81.0678412646139
"128","CEMPAKA PUTIH TIMUR",2022-01-31,82.3769142104397
"129","CEMPAKA PUTIH TIMUR",2021-07-31,51.7289642680718
"130","CEMPAKA PUTIH TIMUR",2022-03-31,82.9038366540425
"131","CEMPAKA PUTIH TIMUR",2022-05-31,83.212580273341
"132","CEMPAKA PUTIH TIMUR",2021-10-31,78.7996048081673
"133","RAWASARI",2022-02-27,83.1292393135157
"134","RAWASARI",2022-04-30,83.7984249100924
"135","RAWASARI",2022-06-30,84.0260390585879
"136","RAWASARI",2021-11-30,80.5845131333364
"137","RAWASARI",2021-09-30,74.8713980061001
"138","RAWASARI",2021-08-31,62.5392634406155
"139","RAWASARI",2021-12-31,81.6406427823554
"140","RAWASARI",2022-01-31,82.8606546182911
"141","RAWASARI",2021-07-31,51.7958756316293
"142","RAWASARI",2022-03-31,83.566258478627
"143","RAWASARI",2022-05-31,83.8894705694906
"144","RAWASARI",2021-10-31,78.8819593025903
"145","MENTENG",2022-02-27,81.0646269122697
"146","MENTENG",2022-04-30,81.7866063065876
"147","MENTENG",2022-06-30,82.2510146737434
"148","MENTENG",2021-11-30,79.0665001561036
"149","MENTENG",2021-09-30,72.861379956291
"150","MENTENG",2021-08-31,61.4619107087106
"151","MENTENG",2021-12-31,79.9797065251327
"152","MENTENG",2022-01-31,80.9046206681236
"153","MENTENG",2021-07-31,44.1656259756478
"154","MENTENG",2022-03-31,81.3729316266001
"155","MENTENG",2022-05-31,81.9075866375273
"156","MENTENG",2021-10-31,76.9122697471121
"157","CIKINI",2022-02-27,84.3002175489485
"158","CIKINI",2022-04-30,84.8924341310128
"159","CIKINI",2022-06-30,85.1462412376118
"160","CIKINI",2021-11-30,82.5235678027556
"161","CIKINI",2021-09-30,78.474740149867
"162","CIKINI",2021-08-31,62.7507855934252
"163","CIKINI",2021-12-31,83.4541938602852
"164","CIKINI",2022-01-31,84.1793570219966
"165","CIKINI",2021-07-31,46.8334541938603
"166","CIKINI",2022-03-31,84.5902828136331
"167","CIKINI",2022-05-31,84.9528643944888
"168","CIKINI",2021-10-31,81.4841672709693
"169","PETAMBURAN",2022-02-27,77.5991103363289
"170","PETAMBURAN",2022-04-30,78.5068077304559
"171","PETAMBURAN",2022-06-30,78.7322292687325
"172","PETAMBURAN",2021-11-30,74.6626190977127
"173","PETAMBURAN",2021-09-30,68.6784286615972
"174","PETAMBURAN",2021-08-31,54.5640347449731
"175","PETAMBURAN",2021-12-31,75.9279853325719
"176","PETAMBURAN",2022-01-31,77.2023684289622
"177","PETAMBURAN",2021-07-31,38.396802019777
"178","PETAMBURAN",2022-03-31,78.1190826846202
"179","PETAMBURAN",2022-05-31,78.5759370021941
"180","PETAMBURAN",2021-10-31,72.8141624838448
"181","KEBON MELATI",2022-02-27,77.2278457430292
"182","KEBON MELATI",2022-04-30,78.010308638142
"183","KEBON MELATI",2022-06-30,78.3052847295535
"184","KEBON MELATI",2021-11-30,74.2346146680743
"185","KEBON MELATI",2021-09-30,68.9809352294603
"186","KEBON MELATI",2021-08-31,54.9090231633857
